data_ref,commodity,ticker,preco_raw,volume,fonte,data_coleta
2024-11-26,soja,ZS=F,983.5,131739,Yahoo Finance / CBOT,2026-03-21
2024-11-27,soja,ZS=F,988.75,134095,Yahoo Finance / CBOT,2026-03-21
2024-11-29,soja,ZS=F,989.5,77392,Yahoo Finance / CBOT,2026-03-21
2024-12-02,soja,ZS=F,985.25,124010,Yahoo Finance / CBOT,2026-03-21
2024-12-03,soja,ZS=F,991.75,135065,Yahoo Finance / CBOT,2026-03-21
2024-12-04,soja,ZS=F,983.75,113543,Yahoo Finance / CBOT,2026-03-21
2024-12-05,soja,ZS=F,993.75,109222,Yahoo Finance / CBOT,2026-03-21
2024-12-06,soja,ZS=F,993.75,150604,Yahoo Finance / CBOT,2026-03-21
2024-12-09,soja,ZS=F,990.0,155123,Yahoo Finance / CBOT,2026-03-21
2024-12-10,soja,ZS=F,994.75,162231,Yahoo Finance / CBOT,2026-03-21
2024-12-11,soja,ZS=F,995.5,177510,Yahoo Finance / CBOT,2026-03-21
2024-12-12,soja,ZS=F,995.75,178084,Yahoo Finance / CBOT,2026-03-21
2024-12-13,soja,ZS=F,988.25,97052,Yahoo Finance / CBOT,2026-03-21
2024-12-16,soja,ZS=F,982.0,126195,Yahoo Finance / CBOT,2026-03-21
2024-12-17,soja,ZS=F,976.75,170736,Yahoo Finance / CBOT,2026-03-21
2024-12-18,soja,ZS=F,951.75,171410,Yahoo Finance / CBOT,2026-03-21
2024-12-19,soja,ZS=F,963.0,170407,Yahoo Finance / CBOT,2026-03-21
2024-12-20,soja,ZS=F,974.5,110119,Yahoo Finance / CBOT,2026-03-21
2024-12-23,soja,ZS=F,969.5,73622,Yahoo Finance / CBOT,2026-03-21
2024-12-24,soja,ZS=F,975.25,28802,Yahoo Finance / CBOT,2026-03-21
2024-12-26,soja,ZS=F,988.0,70637,Yahoo Finance / CBOT,2026-03-21
2024-12-27,soja,ZS=F,980.0,56059,Yahoo Finance / CBOT,2026-03-21
2024-12-30,soja,ZS=F,982.0,39468,Yahoo Finance / CBOT,2026-03-21
2024-12-31,soja,ZS=F,998.25,5238,Yahoo Finance / CBOT,2026-03-21
2025-01-02,soja,ZS=F,999.5,1299,Yahoo Finance / CBOT,2026-03-21
2025-01-03,soja,ZS=F,981.0,912,Yahoo Finance / CBOT,2026-03-21
2025-01-06,soja,ZS=F,992.5,598,Yahoo Finance / CBOT,2026-03-21
2025-01-07,soja,ZS=F,992.25,265,Yahoo Finance / CBOT,2026-03-21
2025-01-08,soja,ZS=F,987.5,308,Yahoo Finance / CBOT,2026-03-21
2025-01-09,soja,ZS=F,992.25,168,Yahoo Finance / CBOT,2026-03-21
2025-01-10,soja,ZS=F,1013.5,435,Yahoo Finance / CBOT,2026-03-21
2025-01-13,soja,ZS=F,1041.5,202,Yahoo Finance / CBOT,2026-03-21
2025-01-14,soja,ZS=F,1043.0,220603,Yahoo Finance / CBOT,2026-03-21
2025-01-15,soja,ZS=F,1042.75,139448,Yahoo Finance / CBOT,2026-03-21
2025-01-16,soja,ZS=F,1019.0,162099,Yahoo Finance / CBOT,2026-03-21
2025-01-17,soja,ZS=F,1034.0,189419,Yahoo Finance / CBOT,2026-03-21
2025-01-21,soja,ZS=F,1067.25,215089,Yahoo Finance / CBOT,2026-03-21
2025-01-22,soja,ZS=F,1056.0,214743,Yahoo Finance / CBOT,2026-03-21
2025-01-23,soja,ZS=F,1065.5,148819,Yahoo Finance / CBOT,2026-03-21
2025-01-24,soja,ZS=F,1055.75,177241,Yahoo Finance / CBOT,2026-03-21
2025-01-27,soja,ZS=F,1045.0,127356,Yahoo Finance / CBOT,2026-03-21
2025-01-28,soja,ZS=F,1045.0,129003,Yahoo Finance / CBOT,2026-03-21
2025-01-29,soja,ZS=F,1060.5,128051,Yahoo Finance / CBOT,2026-03-21
2025-01-30,soja,ZS=F,1044.0,135406,Yahoo Finance / CBOT,2026-03-21
2025-01-31,soja,ZS=F,1042.0,154522,Yahoo Finance / CBOT,2026-03-21
2025-02-03,soja,ZS=F,1058.25,164396,Yahoo Finance / CBOT,2026-03-21
2025-02-04,soja,ZS=F,1075.0,182908,Yahoo Finance / CBOT,2026-03-21
2025-02-05,soja,ZS=F,1057.0,166300,Yahoo Finance / CBOT,2026-03-21
2025-02-06,soja,ZS=F,1060.5,129164,Yahoo Finance / CBOT,2026-03-21
2025-02-07,soja,ZS=F,1049.5,154226,Yahoo Finance / CBOT,2026-03-21
2025-02-10,soja,ZS=F,1049.5,128319,Yahoo Finance / CBOT,2026-03-21
2025-02-11,soja,ZS=F,1043.5,149758,Yahoo Finance / CBOT,2026-03-21
2025-02-12,soja,ZS=F,1027.75,171577,Yahoo Finance / CBOT,2026-03-21
2025-02-13,soja,ZS=F,1030.0,147392,Yahoo Finance / CBOT,2026-03-21
2025-02-14,soja,ZS=F,1036.0,120772,Yahoo Finance / CBOT,2026-03-21
2025-02-18,soja,ZS=F,1038.5,123334,Yahoo Finance / CBOT,2026-03-21
2025-02-19,soja,ZS=F,1031.75,133961,Yahoo Finance / CBOT,2026-03-21
2025-02-20,soja,ZS=F,1045.5,112590,Yahoo Finance / CBOT,2026-03-21
2025-02-21,soja,ZS=F,1039.5,115932,Yahoo Finance / CBOT,2026-03-21
2025-02-24,soja,ZS=F,1029.0,101531,Yahoo Finance / CBOT,2026-03-21
2025-02-25,soja,ZS=F,1031.25,117588,Yahoo Finance / CBOT,2026-03-21
2025-02-26,soja,ZS=F,1024.5,74754,Yahoo Finance / CBOT,2026-03-21
2025-02-27,soja,ZS=F,1022.75,37040,Yahoo Finance / CBOT,2026-03-21
2025-02-28,soja,ZS=F,1011.5,1982,Yahoo Finance / CBOT,2026-03-21
2025-03-03,soja,ZS=F,998.25,2052,Yahoo Finance / CBOT,2026-03-21
2025-03-04,soja,ZS=F,984.0,928,Yahoo Finance / CBOT,2026-03-21
2025-03-05,soja,ZS=F,997.75,276,Yahoo Finance / CBOT,2026-03-21
2025-03-06,soja,ZS=F,1014.0,416,Yahoo Finance / CBOT,2026-03-21
2025-03-07,soja,ZS=F,1010.25,112,Yahoo Finance / CBOT,2026-03-21
2025-03-10,soja,ZS=F,999.75,89,Yahoo Finance / CBOT,2026-03-21
2025-03-11,soja,ZS=F,997.75,66,Yahoo Finance / CBOT,2026-03-21
2025-03-12,soja,ZS=F,987.5,39,Yahoo Finance / CBOT,2026-03-21
2025-03-13,soja,ZS=F,996.75,33,Yahoo Finance / CBOT,2026-03-21
2025-03-14,soja,ZS=F,999.25,101125,Yahoo Finance / CBOT,2026-03-21
